step 0: train loss 4.2966, val loss 4.2990
iter 254: loss 2.7328, time 18560.08ms, mfu 0.04%
iter 255: loss 2.7377, time 20146.81ms, mfu 0.04%
iter 256: loss 2.7464, time 24136.55ms, mfu 0.03%
iter 257: loss 2.7693, time 53820.26ms, mfu 0.03%
iter 258: loss 2.7349, time 35499.93ms, mfu 0.03%
iter 259: loss 2.7484, time 29736.27ms, mfu 0.03%
iter 260: loss 2.7416, time 28519.22ms, mfu 0.03%
iter 261: loss 2.7625, time 28056.61ms, mfu 0.03%
iter 262: loss 2.7313, time 26969.69ms, mfu 0.03%
iter 263: loss 2.7412, time 27007.31ms, mfu 0.03%
iter 264: loss 2.7484, time 27175.80ms, mfu 0.03%
iter 265: loss 2.7369, time 26750.05ms, mfu 0.03%
iter 266: loss 2.7586, time 26479.22ms, mfu 0.03%
iter 267: loss 2.6687, time 26828.55ms, mfu 0.03%
iter 268: loss 2.7232, time 26650.50ms, mfu 0.03%
iter 269: loss 2.7108, time 26633.66ms, mfu 0.03%
iter 270: loss 2.7005, time 26599.10ms, mfu 0.03%
iter 271: loss 2.6953, time 26645.90ms, mfu 0.03%
iter 272: loss 2.7076, time 26603.89ms, mfu 0.03%
iter 273: loss 2.7355, time 26619.81ms, mfu 0.03%
iter 274: loss 2.7268, time 26687.25ms, mfu 0.03%
iter 275: loss 2.6952, time 26481.05ms, mfu 0.03%
iter 276: loss 2.7072, time 26664.56ms, mfu 0.03%
iter 277: loss 2.6739, time 26690.24ms, mfu 0.03%
iter 278: loss 2.6755, time 26598.54ms, mfu 0.03%
iter 279: loss 2.7228, time 26648.84ms, mfu 0.03%
iter 280: loss 2.7070, time 26626.14ms, mfu 0.03%
iter 281: loss 2.6565, time 26580.26ms, mfu 0.03%
iter 282: loss 2.6950, time 26572.22ms, mfu 0.03%
iter 283: loss 2.7016, time 26580.88ms, mfu 0.03%
iter 284: loss 2.6825, time 26629.90ms, mfu 0.03%
iter 285: loss 2.6680, time 26619.63ms, mfu 0.03%
iter 286: loss 2.6874, time 26949.43ms, mfu 0.03%
iter 287: loss 2.6430, time 26576.73ms, mfu 0.03%
iter 288: loss 2.6601, time 26623.35ms, mfu 0.03%
iter 289: loss 2.6441, time 26489.89ms, mfu 0.03%
iter 290: loss 2.6465, time 26559.61ms, mfu 0.03%
iter 291: loss 2.6593, time 26639.32ms, mfu 0.03%
iter 292: loss 2.6736, time 26661.98ms, mfu 0.03%
iter 293: loss 2.6591, time 26611.22ms, mfu 0.03%
iter 294: loss 2.6362, time 26535.32ms, mfu 0.03%
iter 295: loss 2.6280, time 26685.65ms, mfu 0.03%
iter 296: loss 2.6171, time 26509.96ms, mfu 0.03%
iter 297: loss 2.6462, time 26603.08ms, mfu 0.03%
iter 298: loss 2.6394, time 26614.64ms, mfu 0.03%
iter 299: loss 2.6488, time 26584.79ms, mfu 0.03%
iter 300: loss 2.6275, time 10828014.94ms, mfu 0.02%
iter 301: loss 2.6068, time 9132937.60ms, mfu 0.02%
iter 302: loss 2.6283, time 24233.70ms, mfu 0.02%
iter 303: loss 2.6478, time 22700.27ms, mfu 0.02%
iter 304: loss 2.6231, time 26041.97ms, mfu 0.02%
iter 305: loss 2.6626, time 27990.27ms, mfu 0.02%
iter 306: loss 2.6178, time 28336.39ms, mfu 0.02%
iter 307: loss 2.6523, time 28275.66ms, mfu 0.02%
iter 308: loss 2.6203, time 27801.71ms, mfu 0.02%
iter 309: loss 2.6101, time 28153.00ms, mfu 0.02%
iter 310: loss 2.6257, time 27786.87ms, mfu 0.02%
iter 311: loss 2.6146, time 27550.74ms, mfu 0.02%
iter 312: loss 2.6170, time 27799.66ms, mfu 0.02%
iter 313: loss 2.6076, time 26989.66ms, mfu 0.02%
iter 314: loss 2.6240, time 27395.98ms, mfu 0.02%
iter 315: loss 2.5860, time 26651.89ms, mfu 0.02%
iter 316: loss 2.5942, time 27261.43ms, mfu 0.02%
iter 317: loss 2.5692, time 26842.75ms, mfu 0.02%
iter 318: loss 2.5720, time 26830.33ms, mfu 0.02%
iter 319: loss 2.5808, time 27252.91ms, mfu 0.02%
iter 320: loss 2.5902, time 26921.31ms, mfu 0.02%
iter 321: loss 2.5764, time 26887.13ms, mfu 0.02%
iter 322: loss 2.5792, time 27290.60ms, mfu 0.02%
iter 323: loss 2.5771, time 26913.82ms, mfu 0.02%
iter 324: loss 2.5855, time 25716.99ms, mfu 0.02%
iter 325: loss 2.5451, time 26850.35ms, mfu 0.02%
iter 326: loss 2.5878, time 26647.82ms, mfu 0.02%
iter 327: loss 2.5767, time 26835.85ms, mfu 0.02%
iter 328: loss 2.5599, time 26641.62ms, mfu 0.02%
iter 329: loss 2.5355, time 26792.20ms, mfu 0.02%
iter 330: loss 2.5589, time 26670.21ms, mfu 0.02%
iter 331: loss 2.5803, time 26909.85ms, mfu 0.02%
iter 332: loss 2.5666, time 26668.42ms, mfu 0.02%
iter 333: loss 2.6228, time 26556.38ms, mfu 0.02%
iter 334: loss 2.5588, time 26790.27ms, mfu 0.02%
iter 335: loss 2.5740, time 26802.89ms, mfu 0.02%
iter 336: loss 2.5555, time 26580.78ms, mfu 0.02%
iter 337: loss 2.5973, time 26695.72ms, mfu 0.02%
iter 338: loss 2.5551, time 26654.49ms, mfu 0.02%
iter 339: loss 2.5552, time 26738.50ms, mfu 0.02%
iter 340: loss 2.5680, time 26797.13ms, mfu 0.02%
iter 341: loss 2.5785, time 26786.34ms, mfu 0.02%
iter 342: loss 2.5631, time 26719.03ms, mfu 0.02%
iter 343: loss 2.5046, time 26636.24ms, mfu 0.02%
iter 344: loss 2.5263, time 26655.60ms, mfu 0.02%
iter 345: loss 2.5062, time 27004.34ms, mfu 0.02%
iter 346: loss 2.5043, time 26849.38ms, mfu 0.02%
iter 347: loss 2.5177, time 4279419.00ms, mfu 0.02%
